11:24:51.030 ->  
11:24:51.030 ->  __  __       ____
11:24:51.030 -> |  \/  |_   _/ ___|  ___ _ __  ___  ___  _ __ ___
11:24:51.077 -> | |\/| | | | \___ \ / _ \ `_ \/ __|/ _ \| `__/ __|
11:24:51.077 -> | |  | | |_| |___| |  __/ | | \__ \  _  | |  \__ \
11:24:51.077 -> |_|  |_|\__, |____/ \___|_| |_|___/\___/|_|  |___/
11:24:51.077 ->         |___/                      2.4.0-alpha
11:24:51.077 -> 
11:24:51.077 -> 17 MCO:BGN:INIT NODE,CP=RPNNAA--,FQ=16,REL=0,VER=2.4.0-alpha
11:24:51.077 -> 34 SGN:PER:OK
11:24:51.123 -> 53 SGN:INI:BND OK
11:24:51.123 -> 55 TSM:INIT
11:24:51.123 -> 56 TSF:WUR:MS=1000
11:24:51.123 -> 58 TSM:INIT:TSP OK
11:24:51.123 -> 60 TSF:SID:OK,ID=123
11:24:51.123 -> 62 TSM:FPAR
11:24:51.123 -> 63 SGN:SGN:NREQ=255
11:24:51.123 -> 69 ?TSF:MSG:SEND,123-123-255-255,s=255,c=3,t=7,pt=0,l=0,sg=0,ft=0,st=OK:
11:24:52.101 -> 1069 TSF:MSG:READ,0-0-123,s=255,c=3,t=8,pt=1,l=1,sg=0:0
11:24:52.101 -> 1074 SGN:SKP:MSG CMD=3,TYPE=8
11:24:52.101 -> 1076 TSF:MSG:FPAR OK,ID=0,D=1
11:24:52.101 -> 1079 MCO:BGN:STP
11:24:52.101 -> 1081 MCO:BGN:INIT OK,TSP=0
11:24:53.132 -> 2076 TSM:FPAR:OK
11:24:53.132 -> 2077 TSM:ID
11:24:53.132 -> 2078 TSM:ID:OK
11:24:53.132 -> 2080 TSM:UPL
11:24:53.132 -> 2081 SGN:SKP:MSG CMD=3,TYPE=24
11:24:53.132 -> 2096 TSF:MSG:SEND,123-123-0-0,s=255,c=3,t=24,pt=1,l=1,sg=0,ft=0,st=OK:1
11:24:53.320 -> 2305 TSF:MSG:READ,0-0-123,s=255,c=3,t=25,pt=1,l=1,sg=0:1
11:24:53.367 -> 2310 SGN:SKP:MSG CMD=3,TYPE=25
11:24:53.367 -> 2313 TSF:MSG:PONG RECV,HP=1
11:24:53.367 -> 2315 TSM:UPL:OK
11:24:53.367 -> 2317 TSM:READY:ID=123,PAR=0,DIS=1
11:24:53.367 -> 2320 SGN:PRE:SGN REQ
11:24:53.367 -> 2322 SGN:PRE:WHI NREQ
11:24:53.367 -> 2324 SGN:SKP:MSG CMD=3,TYPE=15
11:24:53.601 -> 2339 TSF:MSG:SEND,123-123-0-0,s=255,c=3,t=15,pt=6,l=2,sg=0,ft=0,st=OK:0101
11:24:53.601 -> 2347 SGN:PRE:XMT,TO=0
11:24:53.601 -> 2349 SGN:PRE:WAIT GW
11:24:53.601 -> 2351 !MCO:PRO:RC=1
11:24:53.601 -> 2353 !MCO:PRO:RC=1
11:24:53.601 -> 2354 !MCO:PRO:RC=1
11:24:53.601 -> 2356 !MCO:PRO:RC=1
11:24:53.601 -> 2358 !MCO:PRO:RC=1
11:24:53.601 -> 2360 !MCO:PRO:RC=1
11:24:53.601 -> 2361 !MCO:PRO:RC=1
11:24:53.601 -> 2363 !MCO:PRO:RC=1
11:24:53.601 -> 2365 !MCO:PRO:RC=1
11:24:53.601 -> 2367 !MCO:PRO:RC=1
11:24:53.601 -> 2368 !MCO:PRO:RC=1
11:24:53.601 -> 2370 !MCO:PRO:RC=1
11:24:53.601 -> 2372 !MCO:PRO:RC=1
11:24:53.601 -> 2374 !MCO:PRO:RC=1
11:24:53.601 -> 2375 !MCO:PRO:RC=1
11:24:53.601 -> 2377 !MCO:PRO:RC=1
11:24:53.601 -> 2379 !MCO:PRO:RC=1
11:24:53.601 -> 2381 !MCO:PRO:RC=1
11:24:53.601 -> 2382 !MCO:PRO:RC=1
11:24:53.601 -> 2384 !MCO:PRO:RC=1
11:24:53.601 -> 2386 !MCO:PRO:RC=1
11:24:53.601 -> 2388 !MCO:PRO:RC=1
11:24:53.601 -> 2390 !MCO:PRO:RC=1
11:24:53.601 -> 2392 !MCO:PRO:RC=1
11:24:53.601 -> 2394 !MCO:PRO:RC=1
11:24:53.601 -> 2396 !MCO:PRO:RC=1
11:24:53.601 -> 2397 !MCO:PRO:RC=1
11:24:53.601 -> 2399 !MCO:PRO:RC=1
11:24:53.601 -> 2401 !MCO:PRO:RC=1
11:24:53.601 -> 2403 !MCO:PRO:RC=1
11:24:53.601 -> 2404 !MCO:PRO:RC=1
11:24:53.601 -> 2406 !MCO:PRO:RC=1
11:24:53.601 -> 2408 !MCO:PRO:RC=1
11:24:53.601 -> 2410 !MCO:PRO:RC=1
11:24:53.601 -> 2411 !MCO:PRO:RC=1
11:24:53.601 -> 2413 !MCO:PRO:RC=1
11:24:53.601 -> 2415 !MCO:PRO:RC=1
11:24:53.601 -> 2417 !MCO:PRO:RC=1
11:24:53.601 -> 2418 !MCO:PRO:RC=1
11:24:53.601 -> 2420 !MCO:PRO:RC=1
11:24:53.601 -> 2422 !MCO:PRO:RC=1
11:24:53.601 -> 2424 !MCO:PRO:RC=1
11:24:53.601 -> 2425 !MCO:PRO:RC=1
11:24:53.601 -> 2427 !MCO:PRO:RC=1
11:24:53.601 -> 2429 !MCO:PRO:RC=1
11:24:53.601 -> 2432 !MCO:PRO:RC=1
11:24:53.601 -> 2433 !MCO:PRO:RC=1
11:24:53.601 -> 2435 !MCO:PRO:RC=1
11:24:53.601 -> 2437 !MCO:PRO:RC=1
11:24:53.601 -> 2439 !MCO:PRO:RC=1
11:24:53.601 -> 2440 !MCO:PRO:RC=1
11:24:53.601 -> 2442 !MCO:PRO:RC=1
11:24:53.601 -> 2444 !MCO:PRO:RC=1
11:24:53.601 -> 2446 !MCO:PRO:RC=1
11:24:53.601 -> 2447 !MCO:PRO:RC=1
11:24:53.601 -> 2449 !MCO:PRO:RC=1
11:24:53.601 -> 2451 !MCO:PRO:RC=1
11:24:53.601 -> 2453 !MCO:PRO:RC=1
11:24:53.601 -> 2454 !MCO:PRO:RC=1
11:24:53.601 -> 2456 !MCO:PRO:RC=1
11:24:53.601 -> 2458 !MCO:PRO:RC=1
